2015/Aug/22: 12.58
2015/Aug/31: 30.12
2015/Aug/14: 31.07
2015/Aug/28: 31.13
2015/Aug/01: 31.34
2015/Aug/21: 31.65
2015/Aug/18: 31.81
2015/Aug/04: 32.36
2015/Aug/03: 32.38
2015/Aug/13: 32.59
2015/Aug/07: 33.24
2015/Aug/16: 33.62
2015/Aug/25: 33.77
2015/Aug/11: 34.52
2015/Aug/09: 34.63
2015/Aug/12: 34.75
2015/Aug/17: 35.22
2015/Aug/30: 35.39
2015/Aug/29: 35.48
2015/Aug/10: 35.71
2015/Aug/05: 36.23
2015/Aug/27: 36.48
2015/Aug/19: 36.77
2015/Aug/24: 37.12
2015/Aug/26: 37.47
2015/Aug/06: 37.93
2015/Aug/20: 39.06
2015/Aug/23: 39.25
2015/Aug/02: 39.56
2015/Aug/15: 39.65
2015/Aug/08: 99.27
